Trigger Time,NPRI_1_2,NPRI_3_6,NewTSS,\Labworks Data\1920-NPRIC 1-3 Eff|TSS_FC24,\Labworks Data\1910-NPRIC 4-6 Eff|TSS_FC24
6/15/2018 8:00:00 AM,True,True,75.5,74,77
6/16/2018 8:00:00 AM,True,True,76.5,79,74
6/17/2018 8:00:00 AM,True,True,80,80,80
6/18/2018 8:00:00 AM,True,True,79.5,77,82
6/19/2018 8:00:00 AM,True,True,67.5,65,70
6/20/2018 8:00:00 AM,True,True,69,68,70
6/21/2018 8:00:00 AM,True,False,55,55,70
6/22/2018 8:00:00 AM,True,False,70,70,70
6/23/2018 8:00:00 AM,True,False,62,62,70
6/24/2018 8:00:00 AM,True,False,79,79,70
6/25/2018 8:00:00 AM,True,True,78,66,90
6/27/2018 8:00:00 AM,True,True,61.5,60,63
6/28/2018 8:00:00 AM,True,True,72,70,74
6/29/2018 8:00:00 AM,True,True,75,76,74
6/30/2018 8:00:00 AM,True,True,70,65,75
7/1/2018 8:00:00 AM,True,True,71.5,71,72
7/2/2018 8:00:00 AM,True,True,74,72,76
7/4/2018 8:00:00 AM,True,True,60.5,58,63
7/5/2018 8:00:00 AM,True,True,95,105,85
7/6/2018 8:00:00 AM,True,True,76,67,85
7/7/2018 8:00:00 AM,True,False,62,62,85
7/8/2018 8:00:00 AM,True,False,60,60,85
7/9/2018 8:00:00 AM,True,False,68,68,85
7/10/2018 8:00:00 AM,True,False,61,61,85
7/11/2018 8:00:00 AM,True,False,73,73,85
7/12/2018 8:00:00 AM,True,True,74,66,82
7/13/2018 8:00:00 AM,True,True,73.5,74,73
7/14/2018 8:00:00 AM,True,True,68,72,64
7/15/2018 8:00:00 AM,True,True,67,70,64
7/16/2018 8:00:00 AM,True,False,65,65,64
7/17/2018 8:00:00 AM,True,True,73,68,78
7/18/2018 8:00:00 AM,True,True,66.75,64.5,69
7/19/2018 8:00:00 AM,True,True,72.5,72,73
7/20/2018 8:00:00 AM,True,True,62,58,66
7/21/2018 8:00:00 AM,True,True,68.5,71,66
7/22/2018 8:00:00 AM,True,False,54,54,66
7/23/2018 8:00:00 AM,True,False,78,78,66
7/24/2018 8:00:00 AM,True,False,62,62,66
7/25/2018 8:00:00 AM,True,False,66,66,66
7/26/2018 8:00:00 AM,True,False,65,65,66
7/27/2018 8:00:00 AM,True,False,62,62,66
7/28/2018 8:00:00 AM,True,False,60,60,66
7/29/2018 8:00:00 AM,True,False,60,60,66
7/30/2018 8:00:00 AM,True,True,75,68,82
7/31/2018 8:00:00 AM,True,True,72.5,72,73
8/1/2018 8:00:00 AM,True,True,62,61,63
8/2/2018 8:00:00 AM,True,True,63.5,64,63
8/3/2018 8:00:00 AM,True,False,56,56,63
8/5/2018 8:00:00 AM,True,False,64,64,63
8/6/2018 8:00:00 AM,True,False,63,63,63
8/7/2018 8:00:00 AM,True,False,52,52,63
8/8/2018 8:00:00 AM,True,False,66,66,63
8/9/2018 8:00:00 AM,True,False,65,65,63
8/10/2018 8:00:00 AM,True,False,63,63,63
8/11/2018 8:00:00 AM,True,False,61,61,63
8/12/2018 8:00:00 AM,True,False,62,62,63
8/13/2018 8:00:00 AM,True,False,69,69,63
8/14/2018 8:00:00 AM,True,False,60,60,63
8/15/2018 8:00:00 AM,True,False,62,62,63
8/16/2018 8:00:00 AM,True,False,69,69,63
8/17/2018 8:00:00 AM,True,True,84,66,102
8/18/2018 8:00:00 AM,True,True,84,66,102
8/19/2018 8:00:00 AM,True,False,61,61,102
8/20/2018 8:00:00 AM,True,False,57,57,102
8/21/2018 8:00:00 AM,True,False,60,60,102
8/22/2018 8:00:00 AM,True,False,62,62,102
8/23/2018 8:00:00 AM,True,False,68,68,102
8/24/2018 8:00:00 AM,True,False,56,56,102
8/25/2018 8:00:00 AM,True,False,58,58,102
8/26/2018 8:00:00 AM,True,False,54,54,102
8/27/2018 8:00:00 AM,True,False,58,58,102
8/28/2018 8:00:00 AM,True,True,66,57,75
8/29/2018 8:00:00 AM,True,True,69.5,63,76
8/30/2018 8:00:00 AM,True,True,58,52,64
8/31/2018 8:00:00 AM,True,True,61.5,55,68
9/1/2018 8:00:00 AM,True,True,64,60,68
9/3/2018 8:00:00 AM,True,True,62.5,55,70
9/4/2018 8:00:00 AM,True,True,67.5,59,76
9/5/2018 8:00:00 AM,True,True,68,60,76
