"","","file.avg"
"353","2019-02-02 14:12:00","4.9"
"354","2019-02-03 10:03:00",NA
"355","2019-02-04 15:08:00",NA
"356","2019-02-05 15:04:00","5.43"
"357","2019-02-06 09:23:00",NA
"358","2019-02-07 07:21:00",NA
"359","2019-02-08 12:34:00",NA
"360","2019-02-09 12:30:00",NA
"361","2019-02-10 10:09:00",NA
"362","2019-02-11 13:18:00",NA
"363","2019-02-12 15:31:00",NA
"364","2019-02-13 11:07:00",NA
"365","2019-02-14 07:29:00",NA
"366","2019-02-15 07:53:00",NA
"367","2019-02-16 13:30:00","5.58"
"368","2019-02-17 08:20:00",NA
"369","2019-02-18 12:14:00",NA
"370","2019-02-19 13:32:00","4.46"
"371","2019-02-20 07:33:00","4.46"
"372","2019-02-21 13:24:00","5.99"
"373","2019-02-22 12:04:00",NA
"374","2019-02-23 10:03:00","6.05"
"375","2019-02-24 10:34:00",NA
"376","2019-02-25 09:23:00",NA
"377","2019-02-26 08:28:00","5.26"
"378","2019-02-27 04:12:00","5.26"
"379","2019-02-28 10:14:00","4.93"
"380","2019-03-01 13:25:00",NA
"381","2019-03-02 10:26:00","5.19"
"382","2019-03-03 06:50:00","5.19"
"383","2019-03-04 11:12:00",NA
"384","2019-03-05 08:52:00","5.17"
"385","2019-03-06 13:08:00",NA
"386","2019-03-07 07:19:00",NA
"387","2019-03-08 07:09:00","4.73"
"388","2019-03-09 15:04:00","4.88"
"389","2019-03-10 09:48:00",NA
"390","2019-03-11 10:47:00",NA
"391","2019-03-12 10:20:00","4.99"
"392","2019-03-13 08:32:00",NA
"393","2019-03-14 06:45:00",NA
"394","2019-03-15 08:18:00",NA
"395","2019-03-16 13:09:00","4.77"
"396","2019-03-17 07:30:00","4.77"
"397","2019-03-18 14:17:00",NA
"398","2019-03-19 07:14:00",NA
"399","2019-03-20 12:10:00",NA
"400","2019-03-21 07:29:00",NA
"401","2019-03-22 12:08:00",NA
"402","2019-03-23 13:14:00","5.38"
"403","2019-03-24 06:47:00","5.38"
"404","2019-03-25 12:36:00",NA
"405","2019-03-27 15:10:00",NA
