"","Timestamp","Value"
"326",2020-02-29 08:23:00,44
"327",2020-03-01 06:43:00,25
"328",2020-03-02 08:36:00,29
"329",2020-03-03 13:40:00,54
"330",2020-03-04 11:18:00,58
"331",2020-03-05 15:11:00,64
"332",2020-03-06 10:23:00,38
"333",2020-03-07 11:27:00,56
"334",2020-03-08 13:53:00,31
"335",2020-03-09 06:48:00,44
"336",2020-03-10 08:17:00,46
"337",2020-03-11 14:51:00,108
"338",2020-03-12 09:32:00,93
"339",2020-03-13 14:13:00,76
"340",2020-03-14 12:39:00,69
"341",2020-03-15 13:57:00,74
"342",2020-03-16 08:23:00,20
"343",2020-03-17 09:33:00,117
"344",2020-03-18 11:30:00,89
"345",2020-03-19 06:48:00,29
"346",2020-03-20 11:46:00,146
"347",2020-03-21 11:22:00,80
"348",2020-03-22 08:23:00,45
"349",2020-03-23 11:04:00,47
"350",2020-03-24 10:30:00,60
"351",2020-03-25 10:29:00,60
"352",2020-03-26 10:57:00,80
"353",2020-03-27 10:27:00,88
"354",2020-03-28 12:02:00,86
"355",2020-03-29 11:06:00,66
"356",2020-03-30 10:40:00,52
"357",2020-03-31 10:44:00,194
"358",2020-04-01 08:51:00,186
"359",2020-04-02 07:00:00,276
"360",2020-04-03 08:10:00,93
"361",2020-04-04 10:32:00,49
"362",2020-04-05 09:39:00,58
"363",2020-04-06 09:30:00,45
"364",2020-04-07 09:27:00,101
"365",2020-04-08 08:46:00,76
"366",2020-04-09 11:57:00,47
"367",2020-04-10 08:01:00,48
